st1;st2;st3;st4;chi2;chi2error;offset
14;10;10;13;79518.6844366;28.4715331596;4
14;10;10;13;83606.5732074;29.0661225039;5
14;10;10;13;87951.8320707;29.6233180376;6
14;10;10;13;92538.1265449;30.154571507;7
14;10;10;13;97389.886129;30.6759255458;8
14;10;10;13;102613.818094;31.2122321485;9
14;10;10;13;108298.002007;31.7870057447;10
14;11;10;10;79068.1365059;30.7385056297;0
14;11;10;10;77084.5972755;30.3762197238;1
14;11;10;10;74952.6712824;29.9588557778;2
14;11;10;10;72827.5016399;29.4938125;3
14;11;10;10;70936.5802178;28.9983090952;4
14;11;10;10;69467.8918866;28.482092571;5
14;11;10;10;68517.6559752;27.9509797792;6
14;11;10;10;68129.9164712;27.4151749591;7
14;11;10;10;68355.2148554;26.8953658318;8
14;11;10;10;69255.7419166;26.4218600993;9
14;11;10;10;70803.2889764;26.0141523284;10
14;11;10;11;63919.8604425;27.3555778013;0
14;11;10;11;63875.0523874;27.3325364351;1
14;11;10;11;63770.0421167;27.2619639932;2
14;11;10;11;63685.0973531;27.1480876869;3
14;11;10;11;63755.7221289;27.0043190099;4
14;11;10;11;64088.0375156;26.8379835561;5
14;11;10;11;64719.6279625;26.6530211436;6
14;11;10;11;65668.7189595;26.4586015551;7
14;11;10;11;66968.5652628;26.2714968531;8
14;11;10;11;68679.0454716;26.1166202898;9
14;11;10;11;70803.2889764;26.0141523284;10
14;11;10;12;54526.726126;24.6619075391;0
14;11;10;12;55566.2144987;24.9089910394;1
14;11;10;12;56642.2020485;25.1145527657;2
14;11;10;12;57783.2711151;25.2802946114;3
14;11;10;12;59058.6668248;25.416596165;4
14;11;10;12;60515.3414182;25.5288549593;5
14;11;10;12;62149.130382;25.6195162165;6
14;11;10;12;63961.5876781;25.6969260294;7
14;11;10;12;65974.749117;25.7747386009;8
14;11;10;12;68246.8576262;25.8735718301;9
14;11;10;12;70803.2889764;26.0141523284;10
14;11;10;13;48796.7805388;22.5414347724;0
14;11;10;13;50403.3082752;23.0011621256;1
14;11;10;13;52138.9761019;23.4240982617;2
14;11;10;13;53996.6277172;23.8099571296;3
14;11;10;13;55997.7062243;24.1667315839;4
14;11;10;13;58146.3374711;24.4983013771;5
14;11;10;13;60408.5723575;24.805935177;6
14;11;10;13;62775.2648068;25.0973306625;7
14;11;10;13;65261.2066452;25.3836876396;8
14;11;10;13;67923.481301;25.6854155012;9
14;11;10;13;70803.2889764;26.0141523284;10
14;12;10;10;67532.3639146;28.2706803002;0
14;12;10;10;64148.6664779;27.6478503442;1
14;12;10;10;60763.9028227;26.9836969142;2
14;12;10;10;57504.5117548;26.2863863217;3
14;12;10;10;54535.4334033;25.5705930524;4
14;12;10;10;51986.7886539;24.8449461238;5
14;12;10;10;49920.8530578;24.1151187701;6
14;12;10;10;48352.9489066;23.3883260392;7
14;12;10;10;47309.0971636;22.6813995305;8
14;12;10;10;46813.2380558;22.0185831348;9
14;12;10;10;46817.567599;21.4174939413;10
14;12;10;11;52447.1121041;24.8877524719;0
14;12;10;11;51203.3741614;24.6041670555;1
14;12;10;11;49951.3995532;24.2868051296;2
14;12;10;11;48757.7670316;23.9406615086;3
14;12;10;11;47719.2203629;23.5766029671;4
14;12;10;11;46908.5604915;23.2008371089;5
14;12;10;11;46350.5417785;22.8171601345;6
14;12;10;11;46047.5175922;22.4317526352;7
14;12;10;11;46015.1882911;22.0575305518;8
14;12;10;11;46278.3631487;21.7133433253;9
14;12;10;11;46817.567599;21.4174939413;10
14;12;10;12;43104.1611093;22.1940822097;0
14;12;10;12;43104.948475;22.1806216599;1
14;12;10;12;43118.2737593;22.139393902;2
14;12;10;12;43170.986356;22.0728684332;3
14;12;10;12;43312.5151855;21.9888801222;4
14;12;10;12;43576.035509;21.891708512;5
14;12;10;12;43961.3645879;21.7836552074;6
14;12;10;12;44464.4157889;21.6700771095;7
14;12;10;12;45095.2173269;21.5607722996;8
14;12;10;12;45879.4758755;21.4702948656;9
14;12;10;12;46817.567599;21.4174939413;10
14;12;10;13;37413.7201224;20.0736094429;0
14;12;10;13;38107.6799506;20.2727927461;1
14;12;10;13;38847.0485892;20.4489393981;2
14;12;10;13;39632.3486419;20.6025309513;3
14;12;10;13;40480.1198794;20.7390155411;4
14;12;10;13;41396.0956489;20.8611549298;5
14;12;10;13;42363.5430203;20.9700741679;6
14;12;10;13;43375.7296383;21.0704817425;7
14;12;10;13;44439.8062079;21.1697213382;8
14;12;10;13;45582.3139529;21.2853116943;9
14;12;10;13;46817.567599;21.4174939413;10
14;13;10;10;60068.7195469;26.3279939672;0
14;13;10;10;55616.9074842;25.5000622322;1
14;13;10;10;51322.5313697;24.6416346968;2
14;13;10;10;47287.7345895;23.7614819347;3
14;13;10;10;43626.9789793;22.8722752134;4
14;13;10;10;40422.4473663;21.9817634625;5
14;13;10;10;37705.1314971;21.0955068596;6
14;13;10;10;35465.6794227;20.2183673437;7
14;13;10;10;33710.8299412;19.3641409531;8
14;13;10;10;32440.0070472;18.5522981115;9
14;13;10;10;31596.4937154;17.7991686885;10
14;13;10;11;45033.0807917;22.9450661388;0
14;13;10;11;42879.6363164;22.4563789435;1
14;13;10;11;40801.3933404;21.9447429122;2
14;13;10;11;38852.4553567;21.4157571216;3
14;13;10;11;37097.8166243;20.8782851281;4
14;13;10;11;35581.6610949;20.3376544476;5
14;13;10;11;34314.0801438;19.7975482239;6
14;13;10;11;33282.8681571;19.2617939397;7
14;13;10;11;32489.9270985;18.7402719744;8
14;13;10;11;31938.0542958;18.2470583019;9
14;13;10;11;31596.4937154;17.7991686885;10
14;13;10;12;35729.6343972;20.2513958766;0
14;13;10;12;34946.8483291;20.0328335478;1
14;13;10;12;34200.268323;19.7973316847;2
14;13;10;12;33513.6803649;19.5479640461;3
14;13;10;12;32919.6767414;19.2905622831;4
14;13;10;12;32438.2001994;19.0285258507;5
14;13;10;12;32067.63941;18.7640432969;6
14;13;10;12;31797.4030745;18.500118414;7
14;13;10;12;31628.0874871;18.2435137222;8
14;13;10;12;31565.3814252;18.0049853075;9
14;13;10;12;31596.4937154;17.7991686885;10
14;13;10;13;30070.2916596;18.1309231099;0
14;13;10;13;30079.9707569;18.125004634;1
14;13;10;13;30111.6755024;18.1068771807;2
14;13;10;13;30170.2741555;18.0776265643;3
14;13;10;13;30267.2093533;18.0406977021;4
14;13;10;13;30407.092679;17.9979722685;5
14;13;10;13;30582.1808043;17.9504622573;6
14;13;10;13;30785.5771134;17.9005230471;7
14;13;10;13;31018.4377044;17.8543789575;8
14;13;10;13;31288.8556315;17.8215245989;9
14;13;10;13;31596.4937154;17.7991686885;10
15;10;10;10;90775.8359234;32.7996849741;0
15;10;10;10;90578.8222981;32.7599461666;1
15;10;10;10;90069.2080715;32.6382318267;2
15;10;10;10;89479.903087;32.4418325085;3
15;10;10;10;89177.2590681;32.1938786451;4
15;10;10;10;89479.9408462;31.9070044853;5
15;10;10;10;90558.802878;31.5880049245;6
15;10;10;10;92509.1328931;31.2526948339;7
15;10;10;10;95420.4179102;30.9300005258;8
15;10;10;10;99419.6831184;30.6670461074;9
15;10;10;10;104510.357362;30.5481667583;10
15;10;10;11;76117.327509;29.4167571457;0
15;10;10;11;77515.6213471;29.7162628779;1
15;10;10;11;78839.9557621;29.9413400421;2
15;10;10;11;80222.023512;30.0961076954;3
15;10;10;11;81895.6008536;30.1998885598;4
15;10;10;11;84055.0183068;30.2628954704;5
15;10;10;11;86776.0042178;30.2900462888;6
15;10;10;11;90105.0629108;30.2961214299;7
15;10;10;11;94102.9451153;30.3061315471;8
15;10;10;11;98891.1571353;30.374359332;9
15;10;10;11;104510.357362;30.5481667583;10
15;10;10;12;67114.1727068;26.7230868835;0
15;10;10;12;69323.3104232;27.2927174822;1
15;10;10;12;71674.9918231;27.7939288145;2
15;10;10;12;74228.2495985;28.22831462;3
15;10;10;12;77118.283033;28.6121657149;4
15;10;10;12;80446.436494;28.9537668735;5
15;10;10;12;84217.6330721;29.2565413618;6
15;10;10;12;88443.4196608;29.5344459042;7
15;10;10;12;93164.2112805;29.8148621846;8
15;10;10;12;98497.3252191;30.1474859931;9
15;10;10;12;104510.357362;30.5481667583;10
15;10;10;13;61691.2212425;24.6026141168;0
15;10;10;13;64252.1348984;25.3848885684;1
15;10;10;13;67142.5417513;26.1034743106;2
15;10;10;13;70369.2244602;26.7579771381;3
15;10;10;13;73994.1393166;27.3623011338;4
15;10;10;13;78049.1831049;27.9232132913;5
15;10;10;13;82486.6210472;28.4429603223;6
15;10;10;13;87292.9052301;28.9438359882;7
15;10;10;13;92494.0299215;29.442090989;8
15;10;10;13;98204.1429027;29.9720839375;9
15;10;10;13;104510.357362;30.5481667583;10
15;10;10;14;58462.4148576;22.9760159186;0
15;10;10;14;61122.6236626;23.8988396331;1
15;10;10;14;64269.2192783;24.786209397;2
15;10;10;14;67871.034897;25.6162944331;3
15;10;10;14;71935.2389912;26.3970735357;4
15;10;10;14;76441.545231;27.1341226535;5
15;10;10;14;81302.7970183;27.832941358;6
15;10;10;14;86487.2491049;28.5030839699;7
15;10;10;14;92010.5587808;29.1617255097;8
15;10;10;14;97984.4656573;29.8370049971;9
15;10;10;14;104510.357362;30.5481667583;10
15;11;10;10;73414.4549216;29.7003913821;0
15;11;10;10;71498.7704967;29.3334403951;1
15;11;10;10;69369.5753971;28.9017879661;2
15;11;10;10;67219.8072869;28.4136886678;3
15;11;10;10;65330.731544;27.8890770695;4
15;11;10;10;63943.5360193;27.3391833585;5
15;11;10;10;63188.7219978;26.7706220638;6
15;11;10;10;63127.2839179;26.1954539893;7
15;11;10;10;63817.3045602;25.6377626195;8
15;11;10;10;65324.8980793;25.1410417464;9
15;11;10;10;67615.2506111;24.8005027731;10
15;11;10;11;58835.0974344;26.3174635538;0
15;11;10;11;58767.4391852;26.2897571064;1
15;11;10;11;58605.1569657;26.2048961815;2
15;11;10;11;58458.8288236;26.0679638546;3
15;11;10;11;58507.0239182;25.8950869842;4
15;11;10;11;58897.4199392;25.6950743436;5
15;11;10;11;59691.9083319;25.4726634282;6
15;11;10;11;60918.837658;25.2388805853;7
15;11;10;11;62616.3030228;25.0138936408;8
15;11;10;11;64848.894948;24.8483549709;9
15;11;10;11;67615.2506111;24.8005027731;10
15;11;10;12;49894.966885;23.6237932916;0
15;11;10;12;50839.3808331;23.8662117107;1
15;11;10;12;51810.3189229;24.057484954;2
15;11;10;12;52860.7144737;24.2001707792;3
15;11;10;12;54094.3511462;24.3073641392;4
15;11;10;12;55590.4643351;24.3859457467;5
15;11;10;12;57361.2539196;24.4391585011;6
15;11;10;12;59412.9606052;24.4772050596;7
15;11;10;12;61770.309908;24.526609385;8
15;11;10;12;64496.8845696;24.6272955715;9
15;11;10;12;67615.2506111;24.8005027731;10
15;11;10;13;44521.6284761;21.5033205248;0
15;11;10;13;45976.2264569;21.9583827969;1
15;11;10;13;47569.2340914;22.36703045;2
15;11;10;13;49313.1548258;22.7298332973;3
15;11;10;13;51257.2581152;23.0574995582;4
15;11;10;13;53430.652837;23.3553921646;5
15;11;10;13;55809.5018206;23.626694727;6
15;11;10;13;58385.0662234;23.8905802503;7
15;11;10;13;61173.1345788;24.1572163797;8
15;11;10;13;64236.624409;24.4612176774;9
15;11;10;13;67615.2506111;24.8005027731;10
15;11;10;14;41331.7548397;19.8767223267;0
15;11;10;14;43009.9552191;20.4805595276;1
15;11;10;14;44924.5540499;21.053750643;2
15;11;10;14;47059.3809212;21.592135699;3
15;11;10;14;49423.6144699;22.0962570666;4
15;11;10;14;52009.3422384;22.5733274806;5
15;11;10;14;54766.348056;23.0229217942;6
15;11;10;14;57675.633471;23.4566078653;7
15;11;10;14;60746.9533061;23.8894382098;8
15;11;10;14;64042.7820975;24.3330879269;9
15;11;10;14;67615.2506111;24.8005027731;10
15;12;10;10;62183.7623574;27.2325660527;0
15;12;10;10;58954.2533557;26.6050710155;1
15;12;10;10;55658.3297682;25.9266291025;2
15;12;10;10;52454.3766406;25.2062624895;3
15;12;10;10;49553.9252145;24.4613610266;4
15;12;10;10;47132.644244;23.7020369113;5
15;12;10;10;45281.5870219;22.9347610548;6
15;12;10;10;44031.1317363;22.1686050694;7
15;12;10;10;43414.3883286;21.4237963182;8
15;12;10;10;43457.9412762;20.7459130291;9
