st1;st2;chi2;chi2error;offset
14;11;291.031844497;0.48735872439;2
14;11;294.370450197;0.48735872439;3
14;11;299.970833772;0.48735872439;4
14;11;308.445907194;0.48735872439;5
14;11;320.046878496;0.48735872439;6
14;11;334.682739817;0.48735872439;7
14;11;352.122855727;0.48735872439;8
14;11;371.903787754;0.48735872439;9
14;11;393.538392671;0.489660499438;10
14;12;212.165185144;0.379356256041;0
14;12;212.721724398;0.379356256041;1
14;12;214.482644862;0.379356256041;2
14;12;217.600425131;0.379356256041;3
14;12;222.237912881;0.379529194235;4
14;12;228.568391348;0.380048008819;5
14;12;236.584493505;0.381123670583;6
14;12;246.136834603;0.383544805306;7
14;12;257.045550409;0.387951577306;8
14;12;269.028835101;0.396554540227;9
14;12;281.808064636;0.408707037625;10
14;13;184.516388853;0.351709099344;0
14;13;184.858353107;0.351937217186;1
14;13;185.906412577;0.352621570712;2
14;13;187.681338837;0.353762159921;3
14;13;190.193136946;0.355358984815;4
14;13;193.454042584;0.357573305952;5
14;13;197.407471324;0.361071112862;6
14;13;201.954436191;0.365739311405;7
14;13;207.000232169;0.371214139612;8
14;13;212.417120492;0.377221242783;9
14;13;218.084655891;0.383684581638;10
15;10;380.02797395;0.582011909812;0
15;10;379.395697578;0.582011909812;1
15;10;378.189004754;0.582011909812;2
15;10;377.940547729;0.582011909812;3
15;10;380.572125307;0.582011909812;4
15;10;388.091503762;0.582011909812;5
15;10;401.724909769;0.582011909812;6
15;10;421.810446409;0.582011909812;7
15;10;448.182540262;0.582011909812;8
15;10;480.098865824;0.582011909812;9
15;10;516.688593085;0.582011909812;10
15;11;226.279683928;0.427422783604;0
15;11;226.565228667;0.427422783604;1
15;11;227.768765858;0.427422783604;2
15;11;230.613302731;0.427422783604;3
15;11;235.978705544;0.427422783604;4
15;11;244.787169137;0.427422783604;5
15;11;257.495229191;0.427422783604;6
15;11;274.089886907;0.427422783604;7
15;11;294.33904172;0.427422783604;8
15;11;317.696519163;0.428573280462;9
15;11;343.570572471;0.442038889751;10
15;12;156.381336769;0.321072740792;0
15;12;156.946518847;0.321072740792;1
15;12;158.79906733;0.321072740792;2
