Phase Flux
1.04518981212 0.00133149449943
1.04670954612 0.00121343181711
1.04822947112 0.00121621736744
1.04974808912 0.00126712739414
1.05126741012 0.00120307354333
1.05278631112 0.00113784424581
1.05430633412 0.000754303169557
1.05582606612 0.000957388368646
1.05734477112 0.00100325342878
1.05886358512 0.00106297989683
1.06038288512 0.000589311962838
1.06190143812 0.000957453280335
1.06342076312 0.000652069581644
1.06494037912 0.0009172669044
1.06645987412 0.000978518131945
1.06797935212 0.000891431042363
1.06949811412 0.00101742813242
1.07101698112 0.000829344640757
1.07253624412 0.000988014946297
1.07405483512 0.000820561332652
1.07557414812 0.00110866382046
1.07709316911 0.00102638157683
1.07861187512 0.00105392464842
1.08013128412 0.00101991086621
1.08165086612 0.00102832336241
1.08317030212 0.00143519481403
